rep_population,regime,type,sex,regimesex,vial,dev_time
RP1,aFLX,2X,f,aFLXf,1,216.0588235
RP1,aFLX,2X,f,aFLXf,2,229.6
RP1,aFLX,2X,f,aFLXf,3,225.9354839
RP1,aFLX,2X,f,aFLXf,4,213
RP1,aFLX,2X,f,aFLXf,5,217.8536585
RP1,aFLX,1X,f,aFLXf,1,227.0810811
RP1,aFLX,1X,f,aFLXf,2,223.0625
RP1,aFLX,1X,f,aFLXf,3,222.3125
RP1,aFLX,1X,f,aFLXf,4,220.625
RP1,aFLX,1X,f,aFLXf,5,215.2727273
RP1,aFLX,1X,m,dFLXm,1,215.4285714
RP1,aFLX,1X,m,dFLXm,2,240.8
RP1,aFLX,1X,m,dFLXm,3,234.3636364
RP1,aFLX,1X,m,dFLXm,4,209.8181818
RP1,aFLX,1X,m,dFLXm,5,223.6470588
RP1,bCFM,2X,f,bCFMf,1,223.8333333
RP1,bCFM,2X,f,bCFMf,2,219.4482759
RP1,bCFM,2X,f,bCFMf,3,215.4
RP1,bCFM,2X,f,bCFMf,4,227.3658537
RP1,bCFM,2X,f,bCFMf,5,231.3170732
RP1,bCFM,1X,f,bCFMf,1,236
RP1,bCFM,1X,f,bCFMf,2,220.6896552
RP1,bCFM,1X,f,bCFMf,3,221.483871
RP1,bCFM,1X,f,bCFMf,4,219.3125
RP1,bCFM,1X,f,bCFMf,5,223.8636364
RP1,bCFM,1X,m,eCFMm,1,222.2222222
RP1,bCFM,1X,m,eCFMm,2,223.4545455
RP1,bCFM,1X,m,eCFMm,3,216.5882353
RP1,bCFM,1X,m,eCFMm,4,229.8461538
RP1,bCFM,1X,m,eCFMm,5,232.6896552
RP1,cCwt,0X,f,cCwtf,1,246.8461538
RP1,cCwt,0X,f,cCwtf,2,249.1428571
RP1,cCwt,0X,f,cCwtf,3,242.1621622
RP1,cCwt,0X,f,cCwtf,4,224.8135593
RP1,cCwt,0X,f,cCwtf,5,238.5352113
RP1,cCwt,0X,m,fCwtm,1,246.21875
RP1,cCwt,0X,m,fCwtm,2,251.4736842
RP1,cCwt,0X,m,fCwtm,3,250.4507042
RP1,cCwt,0X,m,fCwtm,4,232.7777778
RP1,cCwt,0X,m,fCwtm,5,242.7297297
RP2,aFLX,2X,f,aFLXf,1,231.5348837
RP2,aFLX,2X,f,aFLXf,2,217
