rep_population,regime,type,sex,regimesex,dev_time
RP1,aFLX,2X,f,aFLXf,220.4895932
RP2,aFLX,2X,f,aFLXf,229.7224566
RP3,aFLX,2X,f,aFLXf,220.3870428
RP4,aFLX,2X,f,aFLXf,226.8258621
RP1,aFLX,1X,f,aFLXf,221.6707617
RP2,aFLX,1X,f,aFLXf,233.4604345
RP3,aFLX,1X,f,aFLXf,228.9420894
RP4,aFLX,1X,f,aFLXf,218.0701539
RP1,aFLX,1X,m,dFLXm,224.8114897
RP2,aFLX,1X,m,dFLXm,231.9292236
RP3,aFLX,1X,m,dFLXm,232.5233372
RP4,aFLX,1X,m,dFLXm,222.0062368
RP1,bCFM,2X,f,bCFMf,223.4729072
RP2,bCFM,2X,f,bCFMf,222.3821699
RP3,bCFM,2X,f,bCFMf,234.3135767
RP4,bCFM,2X,f,bCFMf,225.2905591
RP1,bCFM,1X,f,bCFMf,224.2699325
RP2,bCFM,1X,f,bCFMf,223.169125
RP3,bCFM,1X,f,bCFMf,231.222731
RP4,bCFM,1X,f,bCFMf,226.2651777
RP1,bCFM,1X,m,eCFMm,224.9601624
RP2,bCFM,1X,m,eCFMm,229.9471429
RP3,bCFM,1X,m,eCFMm,232.9732773
RP4,bCFM,1X,m,eCFMm,227.0218361
RP1,cCwt,0X,f,cCwtf,240.2999887
RP2,cCwt,0X,f,cCwtf,249.480514
RP3,cCwt,0X,f,cCwtf,227.5116359
RP4,cCwt,0X,f,cCwtf,230.0990165
RP1,cCwt,0X,m,fCwtm,244.7301292
RP2,cCwt,0X,m,fCwtm,251.3198364
RP3,cCwt,0X,m,fCwtm,228.6292596
RP4,cCwt,0X,m,fCwtm,233.1916847
