rep_population,regime,type,sex,regimesex,vial,active,inactive,locoactive
RP1,aFLX,2X,f,aFLXf,1,1,9,0.1
RP1,aFLX,2X,f,aFLXf,2,2,8,0.2
RP1,aFLX,2X,f,aFLXf,3,1,9,0.1
RP1,aFLX,2X,f,aFLXf,4,3,7,0.3
RP1,aFLX,2X,f,aFLXf,5,3,7,0.3
RP1,aFLX,1X,f,aFLXf,1,2,8,0.2
RP1,aFLX,1X,f,aFLXf,2,3,7,0.3
RP1,aFLX,1X,f,aFLXf,3,1,9,0.1
RP1,aFLX,1X,f,aFLXf,4,3,7,0.3
RP1,aFLX,1X,f,aFLXf,5,1,9,0.1
RP1,aFLX,1X,m,dFLXm,1,4,6,0.4
RP1,aFLX,1X,m,dFLXm,2,0,10,0
RP1,aFLX,1X,m,dFLXm,3,6,4,0.6
RP1,aFLX,1X,m,dFLXm,4,2,8,0.2
RP1,aFLX,1X,m,dFLXm,5,9,1,0.9
RP1,bCFM,2X,f,bCFMf,1,2,8,0.2
RP1,bCFM,2X,f,bCFMf,2,2,8,0.2
RP1,bCFM,2X,f,bCFMf,3,4,6,0.4
RP1,bCFM,2X,f,bCFMf,4,2,8,0.2
RP1,bCFM,2X,f,bCFMf,5,2,8,0.2
RP1,bCFM,1X,f,bCFMf,1,2,8,0.2
RP1,bCFM,1X,f,bCFMf,2,0,10,0
RP1,bCFM,1X,f,bCFMf,3,3,7,0.3
RP1,bCFM,1X,f,bCFMf,4,4,6,0.4
RP1,bCFM,1X,f,bCFMf,5,2,8,0.2
RP1,bCFM,1X,m,eCFMm,1,2,8,0.2
RP1,bCFM,1X,m,eCFMm,2,4,6,0.4
RP1,bCFM,1X,m,eCFMm,3,2,8,0.2
RP1,bCFM,1X,m,eCFMm,4,1,9,0.1
RP1,bCFM,1X,m,eCFMm,5,6,4,0.6
RP1,cCwt,0X,f,cCwtf,1,2,8,0.2
RP1,cCwt,0X,f,cCwtf,2,3,7,0.3
RP1,cCwt,0X,f,cCwtf,3,1,9,0.1
RP1,cCwt,0X,f,cCwtf,4,6,4,0.6
RP1,cCwt,0X,f,cCwtf,5,3,7,0.3
RP1,cCwt,0X,m,fCwtm,1,7,3,0.7
RP1,cCwt,0X,m,fCwtm,2,0,10,0
RP1,cCwt,0X,m,fCwtm,3,5,5,0.5
RP1,cCwt,0X,m,fCwtm,4,7,3,0.7
RP1,cCwt,0X,m,fCwtm,5,2,8,0.2
RP2,aFLX,2X,f,aFLXf,1,3,7,0.3
RP2,aFLX,2X,f,aFLXf,2,2,8,0.2
RP2,aFLX,2X,f,aFLXf,3,4,6,0.4
RP2,aFLX,2X,f,aFLXf,4,1,9,0.1
RP2,aFLX,2X,f,aFLXf,5,0,10,0
RP2,aFLX,1X,f,aFLXf,1,1,9,0.1
RP2,aFLX,1X,f,aFLXf,2,4,6,0.4
RP2,aFLX,1X,f,aFLXf,3,1,9,0.1
RP2,aFLX,1X,f,aFLXf,4,1,9,0.1
RP2,aFLX,1X,f,aFLXf,5,1,9,0.1
RP2,aFLX,1X,m,dFLXm,1,2,8,0.2
RP2,aFLX,1X,m,dFLXm,2,3,7,0.3
RP2,aFLX,1X,m,dFLXm,3,3,7,0.3
RP2,aFLX,1X,m,dFLXm,4,3,7,0.3
RP2,aFLX,1X,m,dFLXm,5,5,5,0.5
RP2,bCFM,2X,f,bCFMf,1,2,8,0.2
RP2,bCFM,2X,f,bCFMf,2,5,5,0.5
RP2,bCFM,2X,f,bCFMf,3,7,3,0.7
RP2,bCFM,2X,f,bCFMf,4,1,9,0.1
RP2,bCFM,2X,f,bCFMf,5,2,8,0.2
RP2,bCFM,1X,f,bCFMf,1,2,8,0.2
RP2,bCFM,1X,f,bCFMf,2,4,6,0.4
RP2,bCFM,1X,f,bCFMf,3,2,8,0.2
RP2,bCFM,1X,f,bCFMf,4,3,7,0.3
RP2,bCFM,1X,f,bCFMf,5,1,9,0.1
RP2,bCFM,1X,m,eCFMm,1,2,8,0.2
RP2,bCFM,1X,m,eCFMm,2,3,7,0.3
RP2,bCFM,1X,m,eCFMm,3,5,5,0.5
RP2,bCFM,1X,m,eCFMm,4,4,6,0.4
RP2,bCFM,1X,m,eCFMm,5,2,8,0.2
RP2,cCwt,0X,f,cCwtf,1,2,8,0.2
RP2,cCwt,0X,f,cCwtf,2,1,9,0.1
RP2,cCwt,0X,f,cCwtf,3,1,9,0.1
RP2,cCwt,0X,f,cCwtf,4,6,4,0.6
RP2,cCwt,0X,f,cCwtf,5,0,10,0
RP2,cCwt,0X,m,fCwtm,1,5,5,0.5
RP2,cCwt,0X,m,fCwtm,2,4,6,0.4
RP2,cCwt,0X,m,fCwtm,3,1,9,0.1
RP2,cCwt,0X,m,fCwtm,4,1,9,0.1
RP2,cCwt,0X,m,fCwtm,5,3,7,0.3
RP3,aFLX,2X,f,aFLXf,1,2,8,0.2
RP3,aFLX,2X,f,aFLXf,2,6,4,0.6
RP3,aFLX,2X,f,aFLXf,3,0,10,0
RP3,aFLX,2X,f,aFLXf,4,3,7,0.3
RP3,aFLX,2X,f,aFLXf,5,1,9,0.1
RP3,aFLX,1X,f,aFLXf,1,3,7,0.3
RP3,aFLX,1X,f,aFLXf,2,1,9,0.1
RP3,aFLX,1X,f,aFLXf,3,2,8,0.2
RP3,aFLX,1X,f,aFLXf,4,2,8,0.2
RP3,aFLX,1X,f,aFLXf,5,3,7,0.3
RP3,aFLX,1X,m,dFLXm,1,5,5,0.5
RP3,aFLX,1X,m,dFLXm,2,3,7,0.3
RP3,aFLX,1X,m,dFLXm,3,7,3,0.7
RP3,aFLX,1X,m,dFLXm,4,4,6,0.4
RP3,aFLX,1X,m,dFLXm,5,4,6,0.4
RP3,bCFM,2X,f,bCFMf,1,0,10,0
RP3,bCFM,2X,f,bCFMf,2,3,7,0.3
RP3,bCFM,2X,f,bCFMf,3,4,6,0.4
RP3,bCFM,2X,f,bCFMf,4,2,8,0.2
RP3,bCFM,2X,f,bCFMf,5,5,5,0.5
RP3,bCFM,1X,f,bCFMf,1,2,8,0.2
RP3,bCFM,1X,f,bCFMf,2,0,10,0
RP3,bCFM,1X,f,bCFMf,3,4,6,0.4
RP3,bCFM,1X,f,bCFMf,4,3,7,0.3
RP3,bCFM,1X,f,bCFMf,5,3,7,0.3
RP3,bCFM,1X,m,eCFMm,1,3,7,0.3
RP3,bCFM,1X,m,eCFMm,2,1,9,0.1
RP3,bCFM,1X,m,eCFMm,3,2,8,0.2
