rep_population,regimetype,block,vial,offspring
RP1,aFLX2X,A,1,55.4
RP1,aFLX2X,A,2,76.25
RP1,aFLX2X,A,3,53.5
RP1,aFLX2X,A,4,63.25
RP1,aFLX2X,A,5,62.5
RP1,aFLX2X,B,1,72.25
RP1,aFLX2X,B,2,61.8
RP1,aFLX2X,B,3,70.2
RP1,aFLX2X,B,4,69.2
RP1,aFLX2X,B,5,67.6
RP1,bFLXFMX,A,1,71.6
RP1,bFLXFMX,A,2,69.4
RP1,bFLXFMX,A,3,70
RP1,bFLXFMX,A,4,61.6
RP1,bFLXFMX,A,5,62
RP1,bFLXFMX,B,1,69.2
RP1,bFLXFMX,B,2,58.2
RP1,bFLXFMX,B,3,78
RP1,bFLXFMX,B,4,73
RP1,bFLXFMX,B,5,56.4
RP1,cCFM2X,A,1,74.75
RP1,cCFM2X,A,2,70.75
RP1,cCFM2X,A,3,59.5
RP1,cCFM2X,A,4,73
RP1,cCFM2X,A,5,61.8
RP1,cCFM2X,B,1,64.8
RP1,cCFM2X,B,2,59.2
RP1,cCFM2X,B,3,64.4
RP1,cCFM2X,B,4,69.4
RP1,cCFM2X,B,5,65
RP1,dCFMFMX,A,1,54.25
RP1,dCFMFMX,A,2,70.25
RP1,dCFMFMX,A,3,75
RP1,dCFMFMX,A,4,66.8
RP1,dCFMFMX,A,5,59.4
RP1,dCFMFMX,B,1,46.25
RP1,dCFMFMX,B,2,59.2
RP1,dCFMFMX,B,3,52.75
RP1,dCFMFMX,B,4,72.25
RP1,dCFMFMX,B,5,59.33333333
RP1,eCwt,A,1,68
RP1,eCwt,A,2,55.8
RP1,eCwt,A,3,47.75
RP1,eCwt,A,4,66.8
RP1,eCwt,A,5,62.75
RP1,eCwt,B,1,63
RP1,eCwt,B,2,61
RP1,eCwt,B,3,66.8
RP1,eCwt,B,4,54
RP1,eCwt,B,5,71.8
RP1,fCwtFMX,A,1,68
RP1,fCwtFMX,A,2,69.25
RP1,fCwtFMX,A,3,74.25
RP1,fCwtFMX,A,4,61.4
RP1,fCwtFMX,A,5,63.4
RP1,fCwtFMX,B,1,60.4
RP1,fCwtFMX,B,2,59.2
RP1,fCwtFMX,B,3,63.8
RP1,fCwtFMX,B,4,70.8
RP1,fCwtFMX,B,5,71.6
RP2,aFLX2X,A,1,81.4
RP2,aFLX2X,A,2,73.2
RP2,aFLX2X,A,3,79.8
RP2,aFLX2X,A,4,76
RP2,aFLX2X,A,5,70.5
RP2,aFLX2X,B,1,70.6
RP2,aFLX2X,B,2,84.2
RP2,aFLX2X,B,3,76.4
RP2,aFLX2X,B,4,81.4
RP2,aFLX2X,B,5,71.4
RP2,bFLXFMX,A,1,77.2
RP2,bFLXFMX,A,2,48.8
RP2,bFLXFMX,A,3,65.2
RP2,bFLXFMX,A,4,35.5
RP2,bFLXFMX,A,5,74.4
RP2,bFLXFMX,B,1,67.8
RP2,bFLXFMX,B,2,83.8
RP2,bFLXFMX,B,3,80.6
RP2,bFLXFMX,B,4,79
RP2,bFLXFMX,B,5,NA
RP2,cCFM2X,A,1,62.75
RP2,cCFM2X,A,2,70.2
RP2,cCFM2X,A,3,68.6
RP2,cCFM2X,A,4,61.5
RP2,cCFM2X,A,5,73.4
RP2,cCFM2X,B,1,66.8
RP2,cCFM2X,B,2,64.2
RP2,cCFM2X,B,3,53.8
RP2,cCFM2X,B,4,70
RP2,cCFM2X,B,5,68.4
RP2,dCFMFMX,A,1,72.75
RP2,dCFMFMX,A,2,73.8
RP2,dCFMFMX,A,3,76.6
RP2,dCFMFMX,A,4,71.4
RP2,dCFMFMX,A,5,78.6
RP2,dCFMFMX,B,1,59.2
RP2,dCFMFMX,B,2,63.8
RP2,dCFMFMX,B,3,71.5
RP2,dCFMFMX,B,4,71.4
RP2,dCFMFMX,B,5,64
RP2,eCwt,A,1,71
