rep_population,regimetype,block,offspring
RP1,aFLX2X,A,61.85714286
RP1,aFLX2X,B,68.04166667
RP2,aFLX2X,A,76.41666667
RP2,aFLX2X,B,76.8
RP3,aFLX2X,A,67.52173913
RP3,aFLX2X,B,71.7826087
RP4,aFLX2X,A,68.77777778
RP4,aFLX2X,B,64.39130435
RP1,bFLXFMX,A,66.92
RP1,bFLXFMX,B,66.5
RP2,bFLXFMX,A,61.25
RP2,bFLXFMX,B,77.8
RP3,bFLXFMX,A,58.47368421
RP3,bFLXFMX,B,72.31578947
RP4,bFLXFMX,A,72.52173913
RP4,bFLXFMX,B,66
RP1,cCFM2X,A,68.52631579
RP1,cCFM2X,B,64.52173913
RP2,cCFM2X,A,67.73913043
RP2,cCFM2X,B,64.17391304
RP3,cCFM2X,A,51.57142857
RP3,cCFM2X,B,71.25
RP4,cCFM2X,A,63.85
RP4,cCFM2X,B,71.08333333
RP1,dCFMFMX,A,64.47619048
RP1,dCFMFMX,B,57.95
RP2,dCFMFMX,A,74.70833333
RP2,dCFMFMX,B,65.75
RP3,dCFMFMX,A,56.22727273
RP3,dCFMFMX,B,74.48
RP4,dCFMFMX,A,62.2
RP4,dCFMFMX,B,74.45454545
RP1,eCwt,A,60.65217391
RP1,eCwt,B,63.47619048
RP2,eCwt,A,68.19047619
RP2,eCwt,B,73.56
RP3,eCwt,A,58.94444444
RP3,eCwt,B,68.47368421
RP4,eCwt,A,72.40909091
RP4,eCwt,B,65.20833333
RP1,fCwtFMX,A,66.81818182
RP1,fCwtFMX,B,65.16
RP2,fCwtFMX,A,76.52173913
RP2,fCwtFMX,B,68.6
RP3,fCwtFMX,A,64.38888889
RP3,fCwtFMX,B,76.5
RP4,fCwtFMX,A,59.36842105
RP4,fCwtFMX,B,69.08695652
