rep_population,regimetype,block,vial,red,total
RP1,aFLXXY,A,1,368,899
RP1,aFLXXY,A,2,313,1095
RP1,aFLXXY,A,3,214,978
RP1,aFLXXY,A,4,109,546
RP1,aFLXXY,A,5,215,723
RP1,aFLXXY,B,1,179,729
RP1,aFLXXY,B,2,112,778
RP1,aFLXXY,B,3,302,793
RP1,aFLXXY,B,4,343,854
RP1,aFLXXY,B,5,193,638
RP1,bFLXFMY,A,1,134,1045
RP1,bFLXFMY,A,2,101,930
RP1,bFLXFMY,A,3,152,720
RP1,bFLXFMY,A,4,72,649
RP1,bFLXFMY,A,5,288,1212
RP1,bFLXFMY,B,1,53,803
RP1,bFLXFMY,B,2,79,728
RP1,bFLXFMY,B,3,56,831
RP1,bFLXFMY,B,4,32,832
RP1,bFLXFMY,B,5,5,770
RP1,cCFMXY,A,1,136,703
RP1,cCFMXY,A,2,203,588
RP1,cCFMXY,A,3,158,750
RP1,cCFMXY,A,4,323,1047
RP1,cCFMXY,A,5,194,756
RP1,cCFMXY,B,1,98,561
RP1,cCFMXY,B,2,208,755
RP1,cCFMXY,B,3,253,751
RP1,cCFMXY,B,4,235,594
RP1,cCFMXY,B,5,284,656
RP1,dCFMFMY,A,1,36,732
RP1,dCFMFMY,A,2,47,618
RP1,dCFMFMY,A,3,110,987
RP1,dCFMFMY,A,4,24,841
RP1,dCFMFMY,A,5,9,692
RP1,dCFMFMY,B,1,51,789
RP1,dCFMFMY,B,2,149,864
RP1,dCFMFMY,B,3,0,832
RP1,dCFMFMY,B,4,19,632
RP1,dCFMFMY,B,5,14,783
RP1,eCwtXY,A,1,195,961
RP1,eCwtXY,A,2,205,957
RP1,eCwtXY,A,3,91,733
RP1,eCwtXY,A,4,363,1048
RP1,eCwtXY,A,5,152,819
RP1,eCwtXY,B,1,125,685
RP1,eCwtXY,B,2,399,918
RP1,eCwtXY,B,3,102,449
RP1,eCwtXY,B,4,40,619
RP1,eCwtXY,B,5,198,797
RP1,fCwtFMY,A,1,1,867
RP1,fCwtFMY,A,2,32,767
RP1,fCwtFMY,A,3,9,562
RP1,fCwtFMY,A,4,10,484
RP1,fCwtFMY,A,5,139,1104
RP1,fCwtFMY,B,1,23,761
RP1,fCwtFMY,B,2,57,496
RP1,fCwtFMY,B,3,0,807
RP1,fCwtFMY,B,4,26,711
RP1,fCwtFMY,B,5,6,840
RP2,aFLXXY,A,1,305,880
RP2,aFLXXY,A,2,197,872
RP2,aFLXXY,A,3,223,627
RP2,aFLXXY,A,4,339,747
RP2,aFLXXY,A,5,187,776
RP2,aFLXXY,B,1,256,834
RP2,aFLXXY,B,2,266,804
RP2,aFLXXY,B,3,387,794
RP2,aFLXXY,B,4,327,781
RP2,aFLXXY,B,5,415,899
RP2,bFLXFMY,A,1,87,839
RP2,bFLXFMY,A,2,15,652
RP2,bFLXFMY,A,3,121,668
RP2,bFLXFMY,A,4,142,940
RP2,bFLXFMY,A,5,177,940
RP2,bFLXFMY,B,1,89,554
RP2,bFLXFMY,B,2,87,368
RP2,bFLXFMY,B,3,69,659
