rep_population,regimetype,block,red,total
RP1,aFLXXY,A,1219,4241
RP1,aFLXXY,B,1129,3792
RP2,aFLXXY,A,1251,3902
RP2,aFLXXY,B,1651,4112
RP3,aFLXXY,A,1163,4517
RP3,aFLXXY,B,823,3309
RP4,aFLXXY,A,1005,4135
RP4,aFLXXY,B,1346,3833
RP1,bFLXFMY,A,747,4556
RP1,bFLXFMY,B,225,3964
RP2,bFLXFMY,A,542,4039
RP2,bFLXFMY,B,422,2646
RP3,bFLXFMY,A,407,4332
RP3,bFLXFMY,B,92,2856
RP4,bFLXFMY,A,356,4066
RP4,bFLXFMY,B,467,3956
RP1,cCFMXY,A,1014,3844
RP1,cCFMXY,B,1078,3317
RP2,cCFMXY,A,1365,3952
RP2,cCFMXY,B,1534,3665
RP3,cCFMXY,A,1113,3676
RP3,cCFMXY,B,1095,4084
RP4,cCFMXY,A,1353,4341
RP4,cCFMXY,B,1630,3863
RP1,dCFMFMY,A,226,3870
RP1,dCFMFMY,B,233,3900
RP2,dCFMFMY,A,382,4209
RP2,dCFMFMY,B,223,3887
RP3,dCFMFMY,A,440,4705
RP3,dCFMFMY,B,94,2878
RP4,dCFMFMY,A,209,3748
RP4,dCFMFMY,B,277,3809
RP1,eCwtXY,A,1006,4518
RP1,eCwtXY,B,864,3468
RP2,eCwtXY,A,1298,3974
RP2,eCwtXY,B,1615,4079
RP3,eCwtXY,A,1180,4063
RP3,eCwtXY,B,1622,4288
RP4,eCwtXY,A,1079,3873
RP4,eCwtXY,B,1737,3666
RP1,fCwtFMY,A,191,3784
RP1,fCwtFMY,B,112,3615
RP2,fCwtFMY,A,199,3577
RP2,fCwtFMY,B,35,3831
RP3,fCwtFMY,A,185,4418
RP3,fCwtFMY,B,255,3796
RP4,fCwtFMY,A,352,4082
RP4,fCwtFMY,B,217,3420
