rep_population,regime,type,sex,regimesex,vial,standard
RP1,aFLX,2X,f,aFLXf,1,-1.452750076
RP1,aFLX,2X,f,aFLXf,2,-1.616387545
RP1,aFLX,2X,f,aFLXf,3,0.394015649
RP1,aFLX,2X,f,aFLXf,4,1.11869587
RP1,aFLX,2X,f,aFLXf,5,0.207001399
RP1,aFLX,2X,f,aFLXf,6,-0.587809167
RP1,aFLX,2X,f,aFLXf,7,0.043363929
RP1,aFLX,2X,f,aFLXf,8,-0.143650321
RP1,aFLX,2X,f,aFLXf,9,-0.774823417
RP1,aFLX,2X,f,aFLXf,10,-0.447548479
RP1,aFLX,1X,f,aFLXf,1,-0.681316292
RP1,aFLX,1X,f,aFLXf,2,0.674537025
RP1,aFLX,1X,f,aFLXf,3,0.93168162
RP1,aFLX,1X,f,aFLXf,4,2.427795625
RP1,aFLX,1X,f,aFLXf,5,-1.476126857
RP1,aFLX,1X,f,aFLXf,6,1.048565526
RP1,aFLX,1X,f,aFLXf,7,0.440769212
RP1,aFLX,1X,f,aFLXf,8,0.791420932
RP1,aFLX,1X,f,aFLXf,9,-0.541055604
RP1,aFLX,1X,f,aFLXf,10,-0.213780665
RP1,aFLX,1X,m,dFLXm,1,-0.089701982
RP1,aFLX,1X,m,dFLXm,2,-0.774326785
RP1,aFLX,1X,m,dFLXm,3,0.331018789
RP1,aFLX,1X,m,dFLXm,4,2.286491063
RP1,aFLX,1X,m,dFLXm,5,0.799981395
RP1,aFLX,1X,m,dFLXm,6,0.065123137
RP1,aFLX,1X,m,dFLXm,7,0.239005538
RP1,aFLX,1X,m,dFLXm,8,-1.614703495
RP1,aFLX,1X,m,dFLXm,9,-2.850169081
RP1,aFLX,1X,m,dFLXm,10,-0.681629131
RP1,bCFM,2X,f,bCFMf,1,-0.190403884
RP1,bCFM,2X,f,bCFMf,2,-0.260534228
RP1,bCFM,2X,f,bCFMf,3,1.492724372
RP1,bCFM,2X,f,bCFMf,4,-0.424171697
RP1,bCFM,2X,f,bCFMf,5,-1.52288042
RP1,bCFM,2X,f,bCFMf,6,0.417392431
RP1,bCFM,2X,f,bCFMf,7,-1.616387545
RP1,bCFM,2X,f,bCFMf,8,0.697913807
RP1,bCFM,2X,f,bCFMf,9,0.207001399
RP1,bCFM,2X,f,bCFMf,10,0.160247836
RP1,bCFM,1X,f,bCFMf,1,0.93168162
RP1,bCFM,1X,f,bCFMf,2,-0.494302041
RP1,bCFM,1X,f,bCFMf,3,-0.260534228
RP1,bCFM,1X,f,bCFMf,4,-0.283911009
RP1,bCFM,1X,f,bCFMf,5,-3.065747987
RP1,bCFM,1X,f,bCFMf,6,0.627783463
RP1,bCFM,1X,f,bCFMf,7,-0.026766415
RP1,bCFM,1X,f,bCFMf,8,0.136871055
RP1,bCFM,1X,f,bCFMf,9,-0.424171697
RP1,bCFM,1X,f,bCFMf,10,-0.377418135
RP1,bCFM,1X,m,eCFMm,1,-0.898986111
RP1,bCFM,1X,m,eCFMm,2,-0.062460949
RP1,bCFM,1X,m,eCFMm,3,-0.052410934
RP1,bCFM,1X,m,eCFMm,4,-1.123264941
RP1,bCFM,1X,m,eCFMm,5,0.138090536
RP1,bCFM,1X,m,eCFMm,6,-0.291250077
RP1,bCFM,1X,m,eCFMm,7,-0.19626342
RP1,bCFM,1X,m,eCFMm,8,-1.443254456
RP1,bCFM,1X,m,eCFMm,9,0.03058445
RP1,bCFM,1X,m,eCFMm,10,-0.511529552
RP1,cCwt,0X,f,cCwtf,1,1.329086902
RP1,cCwt,0X,f,cCwtf,2,0.370638868
RP1,cCwt,0X,f,cCwtf,3,0.604406681
RP1,cCwt,0X,f,cCwtf,4,0.136871055
RP1,cCwt,0X,f,cCwtf,5,0.791420932
RP1,cCwt,0X,f,cCwtf,6,1.352463684
RP1,cCwt,0X,f,cCwtf,7,-0.611185948
RP1,cCwt,0X,f,cCwtf,8,1.46934759
RP1,cCwt,0X,f,cCwtf,9,-0.050143196
RP1,cCwt,0X,f,cCwtf,10,-2.925487299
RP1,cCwt,0X,m,fCwtm,1,0.379013886
RP1,cCwt,0X,m,fCwtm,2,0.015804919
RP1,cCwt,0X,m,fCwtm,3,-0.578307572
RP1,cCwt,0X,m,fCwtm,4,1.87438065
RP1,cCwt,0X,m,fCwtm,5,0.795856789
RP1,cCwt,0X,m,fCwtm,6,0.021556813
RP1,cCwt,0X,m,fCwtm,7,1.474691135
RP1,cCwt,0X,m,fCwtm,8,0.787870675
RP1,cCwt,0X,m,fCwtm,9,1.160464858
RP1,cCwt,0X,m,fCwtm,10,-1.495446201
RP2,aFLX,2X,f,aFLXf,1,-0.190403884
RP2,aFLX,2X,f,aFLXf,2,0.791420932
RP2,aFLX,2X,f,aFLXf,3,0.5810299
RP2,aFLX,2X,f,aFLXf,4,-0.798200198
RP2,aFLX,2X,f,aFLXf,5,-1.382619732
RP2,aFLX,2X,f,aFLXf,6,-0.307287791
RP2,aFLX,2X,f,aFLXf,7,-0.65793951
RP2,aFLX,2X,f,aFLXf,8,2.030390342
RP2,aFLX,2X,f,aFLXf,9,-0.12027354
RP2,aFLX,2X,f,aFLXf,10,1.165449433
RP2,aFLX,1X,f,aFLXf,1,0.347262087
RP2,aFLX,1X,f,aFLXf,2,-0.424171697
RP2,aFLX,1X,f,aFLXf,3,0.908304839
RP2,aFLX,1X,f,aFLXf,4,0.5810299
RP2,aFLX,1X,f,aFLXf,5,0.277131743
RP2,aFLX,1X,f,aFLXf,6,-1.00859123
RP2,aFLX,1X,f,aFLXf,7,0.487522775
RP2,aFLX,1X,f,aFLXf,8,0.627783463
RP2,aFLX,1X,f,aFLXf,9,-0.307287791
RP2,aFLX,1X,f,aFLXf,10,1.071942308
RP2,aFLX,1X,m,dFLXm,1,1.115088962
RP2,aFLX,1X,m,dFLXm,2,0.649469301
RP2,aFLX,1X,m,dFLXm,3,-0.171457821
RP2,aFLX,1X,m,dFLXm,4,0.104599828
RP2,aFLX,1X,m,dFLXm,5,0.308532409
RP2,aFLX,1X,m,dFLXm,6,1.303943964
RP2,aFLX,1X,m,dFLXm,7,0.619177108
RP2,aFLX,1X,m,dFLXm,8,1.454425095
RP2,aFLX,1X,m,dFLXm,9,-1.726872705
RP2,aFLX,1X,m,dFLXm,10,0.267568409
RP2,bCFM,2X,f,bCFMf,1,1.235579777
RP2,bCFM,2X,f,bCFMf,2,-0.541055604
RP2,bCFM,2X,f,bCFMf,3,-0.213780665
RP2,bCFM,2X,f,bCFMf,4,-1.148851918
RP2,bCFM,2X,f,bCFMf,5,0.721290588
RP2,bCFM,2X,f,bCFMf,6,1.048565526
RP2,bCFM,2X,f,bCFMf,7,1.422594028
RP2,bCFM,2X,f,bCFMf,8,-0.541055604
RP2,bCFM,2X,f,bCFMf,9,-0.587809167
RP2,bCFM,2X,f,bCFMf,10,0.814797713
RP2,bCFM,1X,f,bCFMf,1,0.791420932
RP2,bCFM,1X,f,bCFMf,2,-0.564432385
RP2,bCFM,1X,f,bCFMf,3,0.417392431
RP2,bCFM,1X,f,bCFMf,4,1.212202996
RP2,bCFM,1X,f,bCFMf,5,0.019987148
RP2,bCFM,1X,f,bCFMf,6,0.744667369
RP2,bCFM,1X,f,bCFMf,7,-1.218982262
RP2,bCFM,1X,f,bCFMf,8,-5.450179683
RP2,bCFM,1X,f,bCFMf,9,1.305710121
RP2,bCFM,1X,f,bCFMf,10,0.183624617
RP2,bCFM,1X,m,eCFMm,1,-1.099334796
RP2,bCFM,1X,m,eCFMm,2,0.60410081
RP2,bCFM,1X,m,eCFMm,3,1.052133743
RP2,bCFM,1X,m,eCFMm,4,0.10163924
RP2,bCFM,1X,m,eCFMm,5,0.932620534
RP2,bCFM,1X,m,eCFMm,6,1.212727684
RP2,bCFM,1X,m,eCFMm,7,-1.411795586
RP2,bCFM,1X,m,eCFMm,8,0.573842414
RP2,bCFM,1X,m,eCFMm,9,2.235695419
RP2,bCFM,1X,m,eCFMm,10,1.188309144
RP2,cCwt,0X,f,cCwtf,1,0.23037818
RP2,cCwt,0X,f,cCwtf,2,-0.798200198
RP2,cCwt,0X,f,cCwtf,3,0.768044151
RP2,cCwt,0X,f,cCwtf,4,0.464145993
RP2,cCwt,0X,f,cCwtf,5,0.721290588
RP2,cCwt,0X,f,cCwtf,6,-1.00859123
RP2,cCwt,0X,f,cCwtf,7,1.890129654
RP2,cCwt,0X,f,cCwtf,8,-0.143650321
RP2,cCwt,0X,f,cCwtf,9,-1.35924295
RP2,cCwt,0X,f,cCwtf,10,0.160247836
RP2,cCwt,0X,m,fCwtm,1,0.057344078
RP2,cCwt,0X,m,fCwtm,2,-1.461980267
RP2,cCwt,0X,m,fCwtm,3,-0.395853021
RP2,cCwt,0X,m,fCwtm,4,0.312025653
RP2,cCwt,0X,m,fCwtm,5,-0.987546834
RP2,cCwt,0X,m,fCwtm,6,-0.828009125
RP2,cCwt,0X,m,fCwtm,7,0.92197587
RP2,cCwt,0X,m,fCwtm,8,-0.761232761
RP2,cCwt,0X,m,fCwtm,9,1.55452719
RP2,cCwt,0X,m,fCwtm,10,0.814163902
RP3,aFLX,2X,f,aFLXf,1,0.955058401
RP3,aFLX,2X,f,aFLXf,2,0.440769212
RP3,aFLX,2X,f,aFLXf,3,-0.096896759
RP3,aFLX,2X,f,aFLXf,4,0.861551276
RP3,aFLX,2X,f,aFLXf,5,1.142072652
RP3,aFLX,2X,f,aFLXf,6,-0.424171697
RP3,aFLX,2X,f,aFLXf,7,-0.096896759
RP3,aFLX,2X,f,aFLXf,8,-0.307287791
RP3,aFLX,2X,f,aFLXf,9,-1.52288042
RP3,aFLX,2X,f,aFLXf,10,-1.289112606
RP3,aFLX,1X,f,aFLXf,1,0.090117492
RP3,aFLX,1X,f,aFLXf,2,0.394015649
RP3,aFLX,1X,f,aFLXf,3,0.768044151
RP3,aFLX,1X,f,aFLXf,4,0.791420932
RP3,aFLX,1X,f,aFLXf,5,0.93168162
RP3,aFLX,1X,f,aFLXf,6,-0.985214449
RP3,aFLX,1X,f,aFLXf,7,0.674537025
RP3,aFLX,1X,f,aFLXf,8,0.277131743
RP3,aFLX,1X,f,aFLXf,9,0.23037818
RP3,aFLX,1X,f,aFLXf,10,0.043363929
RP3,aFLX,1X,m,dFLXm,1,-1.551809879
RP3,aFLX,1X,m,dFLXm,2,-1.251534368
RP3,aFLX,1X,m,dFLXm,3,-0.933617784
RP3,aFLX,1X,m,dFLXm,4,-1.53238726
RP3,aFLX,1X,m,dFLXm,5,-0.688318961
RP3,aFLX,1X,m,dFLXm,6,0.61008945
RP3,aFLX,1X,m,dFLXm,7,0.265231379
RP3,aFLX,1X,m,dFLXm,8,-0.779458334
RP3,aFLX,1X,m,dFLXm,9,0.309577492
RP3,aFLX,1X,m,dFLXm,10,-0.562868573
RP3,bCFM,2X,f,bCFMf,1,-0.167027103
RP3,bCFM,2X,f,bCFMf,2,1.375840465
RP3,bCFM,2X,f,bCFMf,3,1.235579777
RP3,bCFM,2X,f,bCFMf,4,0.557653119
RP3,bCFM,2X,f,bCFMf,5,-0.026766415
RP3,bCFM,2X,f,bCFMf,6,-0.354041353
RP3,bCFM,2X,f,bCFMf,7,0.277131743
RP3,bCFM,2X,f,bCFMf,8,-1.546257201
RP3,bCFM,2X,f,bCFMf,9,0.604406681
RP3,bCFM,2X,f,bCFMf,10,0.674537025
RP3,bCFM,1X,f,bCFMf,1,0.627783463
RP3,bCFM,1X,f,bCFMf,2,0.510899556
RP3,bCFM,1X,f,bCFMf,3,-0.377418135
RP3,bCFM,1X,f,bCFMf,4,0.347262087
RP3,bCFM,1X,f,bCFMf,5,0.394015649
RP3,bCFM,1X,f,bCFMf,6,0.510899556
RP3,bCFM,1X,f,bCFMf,7,-1.967039265
RP3,bCFM,1X,f,bCFMf,8,-0.798200198
RP3,bCFM,1X,f,bCFMf,9,0.277131743
RP3,bCFM,1X,f,bCFMf,10,0.674537025
RP3,bCFM,1X,m,eCFMm,1,0.552194284
RP3,bCFM,1X,m,eCFMm,2,-0.665723609
RP3,bCFM,1X,m,eCFMm,3,0.080094739
RP3,bCFM,1X,m,eCFMm,4,-0.851718451
RP3,bCFM,1X,m,eCFMm,5,-0.829400611
RP3,bCFM,1X,m,eCFMm,6,1.400989279
RP3,bCFM,1X,m,eCFMm,7,-0.246498171
RP3,bCFM,1X,m,eCFMm,8,0.088217896
RP3,bCFM,1X,m,eCFMm,9,0.625633001
RP3,bCFM,1X,m,eCFMm,10,0.127854506
RP3,cCwt,0X,f,cCwtf,1,0.323885305
RP3,cCwt,0X,f,cCwtf,2,0.394015649
RP3,cCwt,0X,f,cCwtf,3,0.090117492
RP3,cCwt,0X,f,cCwtf,4,-1.148851918
RP3,cCwt,0X,f,cCwtf,5,-0.938460886
RP3,cCwt,0X,f,cCwtf,6,-0.915084105
RP3,cCwt,0X,f,cCwtf,7,-1.265735825
RP3,cCwt,0X,f,cCwtf,8,-0.377418135
RP3,cCwt,0X,f,cCwtf,9,0.487522775
RP3,cCwt,0X,f,cCwtf,10,-0.634562729
RP3,cCwt,0X,m,fCwtm,1,-0.558105375
RP3,cCwt,0X,m,fCwtm,2,-0.374193496
RP3,cCwt,0X,m,fCwtm,3,0.182713089
RP3,cCwt,0X,m,fCwtm,4,1.143478614
RP3,cCwt,0X,m,fCwtm,5,1.727666236
RP3,cCwt,0X,m,fCwtm,6,-0.71248587
RP3,cCwt,0X,m,fCwtm,7,-0.028728696
RP3,cCwt,0X,m,fCwtm,8,-0.904679142
RP3,cCwt,0X,m,fCwtm,9,-0.293791582
RP3,cCwt,0X,m,fCwtm,10,-0.354081719
RP4,aFLX,2X,f,aFLXf,1,1.258956558
RP4,aFLX,2X,f,aFLXf,2,0.113494273
RP4,aFLX,2X,f,aFLXf,3,0.207001399
RP4,aFLX,2X,f,aFLXf,4,0.5810299
RP4,aFLX,2X,f,aFLXf,5,0.253754961
RP4,aFLX,2X,f,aFLXf,6,0.955058401
RP4,aFLX,2X,f,aFLXf,7,0.394015649
RP4,aFLX,2X,f,aFLXf,8,-1.663141108
RP4,aFLX,2X,f,aFLXf,9,1.656361841
RP4,aFLX,2X,f,aFLXf,10,-0.798200198
RP4,aFLX,1X,f,aFLXf,1,-0.190403884
RP4,aFLX,1X,f,aFLXf,2,0.417392431
RP4,aFLX,1X,f,aFLXf,3,1.539477934
RP4,aFLX,1X,f,aFLXf,4,-1.195605481
RP4,aFLX,1X,f,aFLXf,5,0.090117492
RP4,aFLX,1X,f,aFLXf,6,1.142072652
RP4,aFLX,1X,f,aFLXf,7,0.253754961
RP4,aFLX,1X,f,aFLXf,8,0.697913807
RP4,aFLX,1X,f,aFLXf,9,-0.330664572
RP4,aFLX,1X,f,aFLXf,10,0.557653119
RP4,aFLX,1X,m,dFLXm,1,0.439086597
RP4,aFLX,1X,m,dFLXm,2,-1.004787764
RP4,aFLX,1X,m,dFLXm,3,0.523127638
RP4,aFLX,1X,m,dFLXm,4,1.30932315
RP4,aFLX,1X,m,dFLXm,5,0.901748999
RP4,aFLX,1X,m,dFLXm,6,-0.752936824
RP4,aFLX,1X,m,dFLXm,7,1.234484052
RP4,aFLX,1X,m,dFLXm,8,-0.904732165
RP4,aFLX,1X,m,dFLXm,9,0.310779628
RP4,aFLX,1X,m,dFLXm,10,-0.988251468
RP4,bCFM,2X,f,bCFMf,1,0.464145993
RP4,bCFM,2X,f,bCFMf,2,-1.733271452
RP4,bCFM,2X,f,bCFMf,3,-0.728069854
RP4,bCFM,2X,f,bCFMf,4,0.043363929
RP4,bCFM,2X,f,bCFMf,5,0.277131743
RP4,bCFM,2X,f,bCFMf,6,0.090117492
RP4,bCFM,2X,f,bCFMf,7,-3.533283614
RP4,bCFM,2X,f,bCFMf,8,-0.050143196
RP4,bCFM,2X,f,bCFMf,9,0.019987148
RP4,bCFM,2X,f,bCFMf,10,0.768044151
RP4,bCFM,1X,f,bCFMf,1,0.370638868
RP4,bCFM,1X,f,bCFMf,2,0.136871055
RP4,bCFM,1X,f,bCFMf,3,0.417392431
RP4,bCFM,1X,f,bCFMf,4,0.136871055
RP4,bCFM,1X,f,bCFMf,5,0.090117492
RP4,bCFM,1X,f,bCFMf,6,0.394015649
RP4,bCFM,1X,f,bCFMf,7,-1.312489388
RP4,bCFM,1X,f,bCFMf,8,0.090117492
RP4,bCFM,1X,f,bCFMf,9,0.417392431
RP4,bCFM,1X,f,bCFMf,10,-0.798200198
RP4,bCFM,1X,m,eCFMm,1,0.724551841
RP4,bCFM,1X,m,eCFMm,2,0.703043571
RP4,bCFM,1X,m,eCFMm,3,-1.486957281
RP4,bCFM,1X,m,eCFMm,4,-1.185992131
RP4,bCFM,1X,m,eCFMm,5,-1.620080384
RP4,bCFM,1X,m,eCFMm,6,0.827313785
RP4,bCFM,1X,m,eCFMm,7,0.902281492
RP4,bCFM,1X,m,eCFMm,8,-1.159593071
RP4,bCFM,1X,m,eCFMm,9,-0.10652899
RP4,bCFM,1X,m,eCFMm,10,-1.168536868
RP4,cCwt,0X,f,cCwtf,1,-0.073519977
RP4,cCwt,0X,f,cCwtf,2,0.370638868
RP4,cCwt,0X,f,cCwtf,3,-0.891707324
RP4,cCwt,0X,f,cCwtf,4,-0.260534228
RP4,cCwt,0X,f,cCwtf,5,-0.354041353
RP4,cCwt,0X,f,cCwtf,6,0.019987148
RP4,cCwt,0X,f,cCwtf,7,-2.902110518
RP4,cCwt,0X,f,cCwtf,8,0.043363929
RP4,cCwt,0X,f,cCwtf,9,-1.289112606
RP4,cCwt,0X,f,cCwtf,10,-0.47092526
RP4,cCwt,0X,m,fCwtm,1,-0.633551623
RP4,cCwt,0X,m,fCwtm,2,0.013592972
RP4,cCwt,0X,m,fCwtm,3,-0.574767706
RP4,cCwt,0X,m,fCwtm,4,1.221051867
RP4,cCwt,0X,m,fCwtm,5,0.01854482
RP4,cCwt,0X,m,fCwtm,6,-2.200032785
RP4,cCwt,0X,m,fCwtm,7,2.131655619
RP4,cCwt,0X,m,fCwtm,8,1.185429912
RP4,cCwt,0X,m,fCwtm,9,-0.206669022
RP4,cCwt,0X,m,fCwtm,10,1.277006267
