rep_population,regime,type,sex,regimesex,standard
RP1,aFLX,2X,f,aFLXf,-1.110257532
RP2,aFLX,2X,f,aFLXf,0.378578312
RP3,aFLX,2X,f,aFLXf,-0.115046406
RP4,aFLX,2X,f,aFLXf,1.007551744
RP1,aFLX,1X,f,aFLXf,1.158823835
RP2,aFLX,1X,f,aFLXf,0.872203031
RP3,aFLX,1X,f,aFLXf,1.095130323
RP4,aFLX,1X,f,aFLXf,1.015513433
RP1,aFLX,1X,m,dFLXm,-0.571884817
RP2,aFLX,1X,m,dFLXm,0.917722754
RP3,aFLX,1X,m,dFLXm,-1.602657921
RP4,aFLX,1X,m,dFLXm,-0.128783174
RP1,bCFM,2X,f,bCFMf,-0.353897076
RP2,bCFM,2X,f,bCFMf,0.752777696
RP3,bCFM,2X,f,bCFMf,0.896088098
RP4,bCFM,2X,f,bCFMf,-1.492418605
RP1,bCFM,1X,f,bCFMf,-1.102295843
RP2,bCFM,1X,f,bCFMf,-0.871406862
RP3,bCFM,1X,f,bCFMf,0.068072441
RP4,bCFM,1X,f,bCFMf,-0.019506138
RP1,bCFM,1X,m,eCFMm,-1.239181894
RP2,bCFM,1X,m,eCFMm,1.359593279
RP3,bCFM,1X,m,eCFMm,0.228646713
RP4,bCFM,1X,m,eCFMm,-1.101468185
RP1,cCwt,0X,f,cCwtf,0.840356275
RP2,cCwt,0X,f,cCwtf,0.3148848
RP3,cCwt,0X,f,cCwtf,-1.357069892
RP4,cCwt,0X,f,cCwtf,-1.978081634
RP1,cCwt,0X,m,fCwtm,1.328718805
RP2,cCwt,0X,m,fCwtm,0.026338221
RP3,cCwt,0X,m,fCwtm,-0.120068792
RP4,cCwt,0X,m,fCwtm,0.903025011
