rep_population,regime,type,sex,regimetype,block,vial,standard
RP1,aFLX,2X,f,aFLX2X,C,1,-1.840732701
RP1,aFLX,2X,f,aFLX2X,C,2,1.28664439
RP1,aFLX,2X,f,aFLX2X,C,3,0.335629134
RP1,aFLX,2X,f,aFLX2X,C,4,1.17691186
RP1,aFLX,2X,f,aFLX2X,C,5,-0.386776685
RP1,aFLX,2X,f,aFLX2X,C,6,0.491083551
RP1,aFLX,2X,f,aFLX2X,C,7,1.835307037
RP1,aFLX,2X,f,aFLX2X,C,8,-0.432498573
RP1,aFLX,2X,f,aFLX2X,C,9,-2.279662819
RP1,aFLX,2X,f,aFLX2X,C,10,1.670708243
RP1,aFLX,2X,f,aFLX2X,C,11,-0.331910421
RP1,aFLX,2X,f,aFLX2X,C,12,-0.871428691
RP1,aFLX,1X,f,bFLX1X,C,1,-0.622701624
RP1,aFLX,1X,f,bFLX1X,C,2,0.518516683
RP1,aFLX,1X,f,bFLX1X,C,3,0.496570177
RP1,aFLX,1X,f,bFLX1X,C,4,0.683115477
RP1,aFLX,1X,f,bFLX1X,C,5,0.540463189
RP1,aFLX,1X,f,bFLX1X,C,6,1.330537402
RP1,aFLX,1X,f,bFLX1X,C,7,0.436217286
RP1,aFLX,1X,f,bFLX1X,C,8,-0.030145964
RP1,aFLX,1X,f,bFLX1X,C,9,0.255158612
RP1,aFLX,1X,f,bFLX1X,C,10,1.198858366
RP1,aFLX,1X,f,bFLX1X,C,11,-1.346936319
RP1,aFLX,1X,f,bFLX1X,C,12,1.703628002
RP1,aFLX,1X,m,fFLXm,A,1,1.727747468
RP1,aFLX,1X,m,fFLXm,A,2,1.319503004
RP1,aFLX,1X,m,fFLXm,A,3,-1.988469558
RP1,aFLX,1X,m,fFLXm,A,4,0.736111536
RP1,aFLX,1X,m,fFLXm,A,5,-0.30139381
RP1,aFLX,1X,m,fFLXm,A,6,0.427183904
RP1,aFLX,1X,m,fFLXm,B,1,-1.131951375
RP1,aFLX,1X,m,fFLXm,B,2,0.72220272
RP1,aFLX,1X,m,fFLXm,B,3,-1.31607806
RP1,aFLX,1X,m,fFLXm,B,4,-0.522712676
RP1,aFLX,1X,m,fFLXm,B,5,-0.570477488
RP1,aFLX,1X,m,fFLXm,B,6,-0.946197865
RP1,bCFM,2X,f,cCFM2X,C,1,1.198858366
RP1,bCFM,2X,f,cCFM2X,C,2,0.628249213
RP1,bCFM,2X,f,cCFM2X,C,3,0.386837648
RP1,bCFM,2X,f,cCFM2X,C,4,1.615841978
RP1,bCFM,2X,f,cCFM2X,C,5,-0.249611023
RP1,bCFM,2X,f,cCFM2X,C,6,0.737981742
RP1,bCFM,2X,f,cCFM2X,C,7,0.759928248
RP1,bCFM,2X,f,cCFM2X,C,8,0.211265601
RP1,bCFM,2X,f,cCFM2X,C,9,0.386837648
RP1,bCFM,2X,f,cCFM2X,C,10,0.079586565
RP1,bCFM,2X,f,cCFM2X,C,11,1.28664439
RP1,bCFM,2X,f,cCFM2X,C,12,-0.315450541
RP1,bCFM,1X,f,dCFM1X,C,1,0.716035236
RP1,bCFM,1X,f,dCFM1X,C,2,1.045232825
RP1,bCFM,1X,f,dCFM1X,C,3,0.584356201
RP1,bCFM,1X,f,dCFM1X,C,4,-0.710487647
RP1,bCFM,1X,f,dCFM1X,C,5,-0.688541141
RP1,bCFM,1X,f,dCFM1X,C,6,2.910685827
RP1,bCFM,1X,f,dCFM1X,C,7,-0.183771506
RP1,bCFM,1X,f,dCFM1X,C,8,0.606302707
RP1,bCFM,1X,f,dCFM1X,C,9,0.518516683
RP1,bCFM,1X,f,dCFM1X,C,10,-2.093117519
RP1,bCFM,1X,f,dCFM1X,C,11,1.374430413
RP1,bCFM,1X,f,dCFM1X,C,12,0.957446801
RP1,bCFM,1X,m,gCFMm,A,1,-0.516941687
RP1,bCFM,1X,m,gCFMm,A,2,1.182362856
RP1,bCFM,1X,m,gCFMm,A,3,0.734709469
RP1,bCFM,1X,m,gCFMm,A,4,0.98443083
RP1,bCFM,1X,m,gCFMm,A,5,1.023729627
RP1,bCFM,1X,m,gCFMm,A,6,-0.26614004
RP1,bCFM,1X,m,gCFMm,B,1,1.606394157
RP1,bCFM,1X,m,gCFMm,B,2,0.700879316
RP1,bCFM,1X,m,gCFMm,B,3,-0.348191222
RP1,bCFM,1X,m,gCFMm,B,4,1.553571913
RP1,bCFM,1X,m,gCFMm,B,5,0.418483894
RP1,bCFM,1X,m,gCFMm,B,6,0.084914287
RP1,cCwt,0X,f,eCwtf,C,1,-0.161825
RP1,cCwt,0X,f,eCwtf,C,2,0.101533071
RP1,cCwt,0X,f,eCwtf,C,3,-0.5349156
RP1,cCwt,0X,f,eCwtf,C,4,1.901146555
RP1,cCwt,0X,f,eCwtf,C,5,0.847714272
RP1,cCwt,0X,f,eCwtf,C,6,0.123479577
RP1,cCwt,0X,f,eCwtf,C,7,-1.434722342
RP1,cCwt,0X,f,eCwtf,C,8,-1.851705954
RP1,cCwt,0X,f,eCwtf,C,9,0.13445283
RP1,cCwt,0X,f,eCwtf,C,10,-1.50056186
RP1,cCwt,0X,f,eCwtf,C,11,-0.074038976
RP1,cCwt,0X,f,eCwtf,C,12,1.528055955
RP1,cCwt,0X,m,hCwtm,A,1,-0.214429268
RP1,cCwt,0X,m,hCwtm,A,2,1.600170686
RP1,cCwt,0X,m,hCwtm,A,3,0.359606884
RP1,cCwt,0X,m,hCwtm,A,4,0.594798949
RP1,cCwt,0X,m,hCwtm,A,5,-0.396363429
RP1,cCwt,0X,m,hCwtm,A,6,0.970534539
RP1,cCwt,0X,m,hCwtm,B,1,-0.406962946
RP1,cCwt,0X,m,hCwtm,B,2,-1.599018361
RP1,cCwt,0X,m,hCwtm,B,3,0.251450999
RP1,cCwt,0X,m,hCwtm,B,4,-0.666080461
RP1,cCwt,0X,m,hCwtm,B,5,-0.819963535
RP1,cCwt,0X,m,hCwtm,B,6,-1.403482839
RP2,aFLX,2X,f,aFLX2X,C,1,-0.447129577
RP2,aFLX,2X,f,aFLX2X,C,2,2.208397638
RP2,aFLX,2X,f,aFLX2X,C,3,1.966986073
RP2,aFLX,2X,f,aFLX2X,C,4,0.107019698
RP2,aFLX,2X,f,aFLX2X,C,5,0.80382126
RP2,aFLX,2X,f,aFLX2X,C,6,-0.183771506
RP2,aFLX,2X,f,aFLX2X,C,7,-0.688541141
RP2,aFLX,2X,f,aFLX2X,C,8,-0.095985482
RP2,aFLX,2X,f,aFLX2X,C,9,-0.074038976
RP2,aFLX,2X,f,aFLX2X,C,10,0.255158612
RP2,aFLX,2X,f,aFLX2X,C,11,-0.05209247
RP2,aFLX,2X,f,aFLX2X,C,12,-1.264636921
RP2,aFLX,1X,f,bFLX1X,C,1,0.342944636
RP2,aFLX,1X,f,bFLX1X,C,2,-0.710487647
RP2,aFLX,1X,f,bFLX1X,C,3,0.825767766
RP2,aFLX,1X,f,bFLX1X,C,4,-0.973845718
RP2,aFLX,1X,f,bFLX1X,C,5,0.474623671
RP2,aFLX,1X,f,bFLX1X,C,6,-0.842166683
RP2,aFLX,1X,f,bFLX1X,C,7,-0.556862106
RP2,aFLX,1X,f,bFLX1X,C,8,-0.770840539
RP2,aFLX,1X,f,bFLX1X,C,9,-1.12747126
RP2,aFLX,1X,f,bFLX1X,C,10,-0.183771506
RP2,aFLX,1X,f,bFLX1X,C,11,0.271618492
RP2,aFLX,1X,f,bFLX1X,C,12,-0.9080062
RP2,aFLX,1X,m,fFLXm,A,1,0.300615748
RP2,aFLX,1X,m,fFLXm,A,2,-0.116837466
RP2,aFLX,1X,m,fFLXm,A,3,0.976732894
RP2,aFLX,1X,m,fFLXm,A,4,0.419874757
RP2,aFLX,1X,m,fFLXm,A,5,0.33258581
RP2,aFLX,1X,m,fFLXm,A,6,3.632515471
RP2,aFLX,1X,m,fFLXm,B,1,-1.465749379
RP2,aFLX,1X,m,fFLXm,B,2,-0.230081002
RP2,aFLX,1X,m,fFLXm,B,3,-1.602742361
RP2,aFLX,1X,m,fFLXm,B,4,0.951030004
RP2,aFLX,1X,m,fFLXm,B,5,-0.988668821
RP2,aFLX,1X,m,fFLXm,B,6,1.102872567
RP2,bCFM,2X,f,cCFM2X,C,1,-0.5349156
RP2,bCFM,2X,f,cCFM2X,C,2,0.123479577
RP2,bCFM,2X,f,cCFM2X,C,3,-0.556862106
RP2,bCFM,2X,f,cCFM2X,C,4,-1.01773873
RP2,bCFM,2X,f,cCFM2X,C,5,0.167372589
RP2,bCFM,2X,f,cCFM2X,C,6,0.299051624
RP2,bCFM,2X,f,cCFM2X,C,7,-0.425183071
RP2,bCFM,2X,f,cCFM2X,C,8,-0.491022588
RP2,bCFM,2X,f,cCFM2X,C,9,-2.641780167
RP2,bCFM,2X,f,cCFM2X,C,10,-0.556862106
RP2,bCFM,2X,f,cCFM2X,C,11,-0.710487647
RP2,bCFM,2X,f,cCFM2X,C,12,-1.588347883
RP2,bCFM,1X,f,dCFM1X,C,1,-0.995792224
RP2,bCFM,1X,f,dCFM1X,C,2,0.408784154
RP2,bCFM,1X,f,dCFM1X,C,3,1.067179331
RP2,bCFM,1X,f,dCFM1X,C,4,1.615841978
RP2,bCFM,1X,f,dCFM1X,C,5,0.781874754
RP2,bCFM,1X,f,dCFM1X,C,6,0.035693553
RP2,bCFM,1X,f,dCFM1X,C,7,-0.271557529
RP2,bCFM,1X,f,dCFM1X,C,8,-0.249611023
RP2,bCFM,1X,f,dCFM1X,C,9,-1.917545472
RP2,bCFM,1X,f,dCFM1X,C,10,0.584356201
RP2,bCFM,1X,f,dCFM1X,C,11,-0.5349156
RP2,bCFM,1X,f,dCFM1X,C,12,-0.315450541
RP2,bCFM,1X,m,gCFMm,A,1,-1.217850433
RP2,bCFM,1X,m,gCFMm,A,2,-1.973024432
RP2,bCFM,1X,m,gCFMm,A,3,-0.372466308
RP2,bCFM,1X,m,gCFMm,A,4,-0.60330868
RP2,bCFM,1X,m,gCFMm,A,5,0.373615322
RP2,bCFM,1X,m,gCFMm,A,6,0.85975373
RP2,bCFM,1X,m,gCFMm,B,1,-0.632355708
RP2,bCFM,1X,m,gCFMm,B,2,0.651161567
RP2,bCFM,1X,m,gCFMm,B,3,-0.142959538
RP2,bCFM,1X,m,gCFMm,B,4,0.55967296
RP2,bCFM,1X,m,gCFMm,B,5,1.105068808
RP2,bCFM,1X,m,gCFMm,B,6,-0.503337516
RP2,cCwt,0X,f,eCwtf,C,1,0.540463189
RP2,cCwt,0X,f,eCwtf,C,2,0.057640059
RP2,cCwt,0X,f,eCwtf,C,3,-0.447129577
RP2,cCwt,0X,f,eCwtf,C,4,0.80382126
RP2,cCwt,0X,f,eCwtf,C,5,-0.386776685
RP2,cCwt,0X,f,eCwtf,C,6,-0.277044156
RP2,cCwt,0X,f,eCwtf,C,7,-0.523942347
RP2,cCwt,0X,f,eCwtf,C,8,-0.776327165
RP2,cCwt,0X,f,eCwtf,C,9,-1.171364271
RP2,cCwt,0X,f,eCwtf,C,10,-1.917545472
RP2,cCwt,0X,f,eCwtf,C,11,-1.039685236
RP2,cCwt,0X,f,eCwtf,C,12,0.299051624
RP2,cCwt,0X,m,hCwtm,A,1,0.865788892
RP2,cCwt,0X,m,hCwtm,A,2,0.227226707
RP2,cCwt,0X,m,hCwtm,A,3,0.273104627
RP2,cCwt,0X,m,hCwtm,A,4,0.499321967
RP2,cCwt,0X,m,hCwtm,A,5,-0.365308761
RP2,cCwt,0X,m,hCwtm,A,6,0.76084872
RP2,cCwt,0X,m,hCwtm,B,1,0.063255159
RP2,cCwt,0X,m,hCwtm,B,2,-0.918472942
RP2,cCwt,0X,m,hCwtm,B,3,-1.635357866
RP2,cCwt,0X,m,hCwtm,B,4,-2.348656386
RP2,cCwt,0X,m,hCwtm,B,5,-0.854955768
RP2,cCwt,0X,m,hCwtm,B,6,-0.540600864
RP3,aFLX,2X,f,aFLX2X,C,1,0.342944636
RP3,aFLX,2X,f,aFLX2X,C,2,-2.817352214
RP3,aFLX,2X,f,aFLX2X,C,3,-0.447129577
RP3,aFLX,2X,f,aFLX2X,C,4,-1.12747126
RP3,aFLX,2X,f,aFLX2X,C,5,-0.057579097
RP3,aFLX,2X,f,aFLX2X,C,6,-0.929952706
RP3,aFLX,2X,f,aFLX2X,C,7,0.079586565
RP3,aFLX,2X,f,aFLX2X,C,8,-0.139878494
RP3,aFLX,2X,f,aFLX2X,C,9,0.765414875
RP3,aFLX,2X,f,aFLX2X,C,10,-0.622701624
RP3,aFLX,2X,f,aFLX2X,C,11,0.167372589
RP3,aFLX,2X,f,aFLX2X,C,12,-0.403236565
RP3,aFLX,1X,f,bFLX1X,C,1,0.244185359
RP3,aFLX,1X,f,bFLX1X,C,2,0.957446801
RP3,aFLX,1X,f,bFLX1X,C,3,-0.732434153
RP3,aFLX,1X,f,bFLX1X,C,4,-0.556862106
RP3,aFLX,1X,f,bFLX1X,C,5,-0.249611023
RP3,aFLX,1X,f,bFLX1X,C,6,0.825767766
RP3,aFLX,1X,f,bFLX1X,C,7,-0.9080062
RP3,aFLX,1X,f,bFLX1X,C,8,0.107019698
RP3,aFLX,1X,f,bFLX1X,C,9,0.326484757
RP3,aFLX,1X,f,bFLX1X,C,10,-1.412775836
RP3,aFLX,1X,f,bFLX1X,C,11,-0.304477288
