rep_population,regime,type,block,sex,regimesex,standard
RP1,aFLX,2X,C,f,aFLXf,0.038351323
RP2,aFLX,2X,C,f,aFLXf,0.65927205
RP3,aFLX,2X,C,f,aFLXf,-1.269203642
RP4,aFLX,2X,C,f,aFLXf,-0.710566399
RP1,aFLX,1X,C,f,aFLXf,1.16975091
RP2,aFLX,1X,C,f,aFLXf,-0.944353458
RP3,aFLX,1X,C,f,aFLXf,-0.312184689
RP4,aFLX,1X,C,f,aFLXf,1.370848642
RP1,aFLX,1X,A,m,dFLXm,0.575372664
RP1,aFLX,1X,B,m,dFLXm,-1.128543802
RP2,aFLX,1X,A,m,dFLXm,1.672502108
RP2,aFLX,1X,B,m,dFLXm,-0.528805763
RP3,aFLX,1X,A,m,dFLXm,-1.424647432
RP3,aFLX,1X,B,m,dFLXm,-0.169579334
RP4,aFLX,1X,A,m,dFLXm,-0.20006619
RP4,aFLX,1X,B,m,dFLXm,0.060955529
RP1,bCFM,2X,C,f,bCFMf,1.528860246
RP2,bCFM,2X,C,f,bCFMf,-1.792573382
RP3,bCFM,2X,C,f,bCFMf,-0.897946289
RP4,bCFM,2X,C,f,bCFMf,-0.928884402
RP1,bCFM,1X,C,f,bCFMf,1.153250583
RP2,bCFM,1X,C,f,bCFMf,0.069000826
RP3,bCFM,1X,C,f,bCFMf,0.147436256
RP4,bCFM,1X,C,f,bCFMf,1.295688255
RP1,bCFM,1X,A,m,eCFMm,0.889753581
RP1,bCFM,1X,B,m,eCFMm,1.188655552
RP2,bCFM,1X,A,m,eCFMm,-0.835080968
RP2,bCFM,1X,B,m,eCFMm,0.209951065
RP3,bCFM,1X,A,m,eCFMm,-0.140585926
RP3,bCFM,1X,B,m,eCFMm,0.19328286
RP4,bCFM,1X,A,m,eCFMm,2.192505472
RP4,bCFM,1X,B,m,eCFMm,0.841349433
RP1,cCwt,0X,C,f,cCwtf,0.840356275
RP2,cCwt,0X,C,f,cCwtf,0.3148848
RP3,cCwt,0X,C,f,cCwtf,-1.357069892
RP4,cCwt,0X,C,f,cCwtf,-1.978081634
RP1,cCwt,0X,A,m,fCwtm,0.851373617
RP1,cCwt,0X,B,m,fCwtm,-1.346209985
RP2,cCwt,0X,A,m,fCwtm,0.681584345
RP2,cCwt,0X,B,m,fCwtm,-1.928705516
RP3,cCwt,0X,A,m,fCwtm,-0.198687551
RP3,cCwt,0X,B,m,fCwtm,-0.769086823
RP4,cCwt,0X,A,m,fCwtm,-0.109647289
RP4,cCwt,0X,B,m,fCwtm,-0.577639648
