rep_population,regime,type,sex,regimetype,fly,size_mm
RP1,aFLX,2X,f,aFLX2X,1,1
RP1,aFLX,2X,f,aFLX2X,2,0.984126984
RP1,aFLX,2X,f,aFLX2X,3,1
RP1,aFLX,2X,f,aFLX2X,4,1
RP1,aFLX,2X,f,aFLX2X,5,1
RP1,aFLX,2X,f,aFLX2X,6,0.952380952
RP1,aFLX,2X,f,aFLX2X,7,0.984126984
RP1,aFLX,2X,f,aFLX2X,8,1
RP1,aFLX,2X,f,aFLX2X,9,1.031746032
RP1,aFLX,2X,f,aFLX2X,10,1.031746032
RP1,aFLX,2X,f,aFLX2X,11,1.015873016
RP1,aFLX,2X,f,aFLX2X,12,1
RP1,aFLX,2X,f,aFLX2X,13,1
RP1,aFLX,2X,f,aFLX2X,14,1.015873016
RP1,aFLX,2X,f,aFLX2X,15,1
RP1,aFLX,2X,f,aFLX2X,16,1.015873016
RP1,aFLX,2X,f,aFLX2X,17,1
RP1,aFLX,2X,f,aFLX2X,18,1.015873016
RP1,aFLX,2X,f,aFLX2X,19,1
RP1,aFLX,2X,f,aFLX2X,20,1
RP1,aFLX,2X,f,aFLX2X,21,1.015873016
RP1,aFLX,2X,f,aFLX2X,22,0.984126984
RP1,aFLX,2X,f,aFLX2X,23,1.015873016
RP1,aFLX,2X,f,aFLX2X,24,1.015873016
RP1,aFLX,2X,f,aFLX2X,25,1
RP1,aFLX,2X,f,aFLX2X,26,1.015873016
RP1,aFLX,2X,f,aFLX2X,27,1.031746032
RP1,aFLX,2X,f,aFLX2X,28,1.015873016
RP1,aFLX,2X,f,aFLX2X,29,1
RP1,aFLX,2X,f,aFLX2X,30,1.015873016
RP1,aFLX,2X,f,aFLX2X,31,1.015873016
RP1,aFLX,2X,f,aFLX2X,32,1
RP1,aFLX,1X,f,bFLX1X,1,1.031746032
RP1,aFLX,1X,f,bFLX1X,2,1.031746032
RP1,aFLX,1X,f,bFLX1X,3,1.063492063
RP1,aFLX,1X,f,bFLX1X,4,1.015873016
RP1,aFLX,1X,f,bFLX1X,5,1.015873016
RP1,aFLX,1X,f,bFLX1X,6,1.047619048
RP1,aFLX,1X,f,bFLX1X,7,1.015873016
RP1,aFLX,1X,f,bFLX1X,8,1.015873016
RP1,aFLX,1X,f,bFLX1X,9,1.063492063
RP1,aFLX,1X,f,bFLX1X,10,0.984126984
RP1,aFLX,1X,f,bFLX1X,11,0.952380952
RP1,aFLX,1X,f,bFLX1X,12,1.015873016
RP1,aFLX,1X,f,bFLX1X,13,1.031746032
RP1,aFLX,1X,f,bFLX1X,14,1.015873016
RP1,aFLX,1X,f,bFLX1X,15,1
RP1,aFLX,1X,f,bFLX1X,16,1.063492063
RP1,aFLX,1X,f,bFLX1X,17,1.031746032
RP1,aFLX,1X,f,bFLX1X,18,1.015873016
RP1,aFLX,1X,f,bFLX1X,19,1.015873016
RP1,aFLX,1X,f,bFLX1X,20,1.031746032
RP1,aFLX,1X,f,bFLX1X,21,1.031746032
RP1,aFLX,1X,f,bFLX1X,22,1.047619048
RP1,aFLX,1X,f,bFLX1X,23,1.031746032
RP1,aFLX,1X,f,bFLX1X,24,1.015873016
RP1,aFLX,1X,f,bFLX1X,25,1.031746032
RP1,aFLX,1X,f,bFLX1X,26,1.015873016
RP1,aFLX,1X,f,bFLX1X,27,1
RP1,aFLX,1X,f,bFLX1X,28,1
RP1,aFLX,1X,f,bFLX1X,29,0.984126984
RP1,aFLX,1X,f,bFLX1X,30,1.015873016
RP1,aFLX,1X,f,bFLX1X,31,1.063492063
RP1,aFLX,1X,f,bFLX1X,32,1.031746032
RP1,aFLX,1X,m,fFLXm,1,0.825396825
RP1,aFLX,1X,m,fFLXm,2,0.857142857
RP1,aFLX,1X,m,fFLXm,3,0.857142857
RP1,aFLX,1X,m,fFLXm,4,0.873015873
RP1,aFLX,1X,m,fFLXm,5,0.873015873
RP1,aFLX,1X,m,fFLXm,6,0.873015873
RP1,aFLX,1X,m,fFLXm,7,0.873015873
RP1,aFLX,1X,m,fFLXm,8,0.873015873
RP1,aFLX,1X,m,fFLXm,9,0.873015873
RP1,aFLX,1X,m,fFLXm,10,0.873015873
RP1,aFLX,1X,m,fFLXm,11,0.873015873
RP1,aFLX,1X,m,fFLXm,12,0.873015873
RP1,aFLX,1X,m,fFLXm,13,0.873015873
RP1,aFLX,1X,m,fFLXm,14,0.841269841
RP1,aFLX,1X,m,fFLXm,15,0.873015873
RP1,aFLX,1X,m,fFLXm,16,0.873015873
RP1,aFLX,1X,m,fFLXm,17,0.873015873
RP1,aFLX,1X,m,fFLXm,18,0.873015873
RP1,aFLX,1X,m,fFLXm,19,0.873015873
RP1,aFLX,1X,m,fFLXm,20,0.873015873
RP1,aFLX,1X,m,fFLXm,21,0.873015873
RP1,aFLX,1X,m,fFLXm,22,0.873015873
RP1,aFLX,1X,m,fFLXm,23,0.873015873
RP1,aFLX,1X,m,fFLXm,24,0.873015873
RP1,aFLX,1X,m,fFLXm,25,0.873015873
RP1,aFLX,1X,m,fFLXm,26,0.873015873
RP1,aFLX,1X,m,fFLXm,27,0.873015873
RP1,aFLX,1X,m,fFLXm,28,0.873015873
RP1,aFLX,1X,m,fFLXm,29,0.873015873
RP1,aFLX,1X,m,fFLXm,30,0.873015873
RP1,aFLX,1X,m,fFLXm,31,0.873015873
RP1,aFLX,1X,m,fFLXm,32,0.873015873
RP1,aFLX,1X,m,fFLXm,33,0.888888889
RP1,aFLX,1X,m,fFLXm,34,0.873015873
RP1,aFLX,1X,m,fFLXm,35,0.873015873
RP1,aFLX,1X,m,fFLXm,36,0.873015873
RP1,aFLX,1X,m,fFLXm,37,0.873015873
RP1,aFLX,1X,m,fFLXm,38,0.873015873
RP1,aFLX,1X,m,fFLXm,39,0.873015873
RP1,aFLX,1X,m,fFLXm,40,0.873015873
RP1,bCFM,2X,f,cCFM2X,1,0.968253968
RP1,bCFM,2X,f,cCFM2X,2,1.031746032
RP1,bCFM,2X,f,cCFM2X,3,0.984126984
RP1,bCFM,2X,f,cCFM2X,4,0.984126984
RP1,bCFM,2X,f,cCFM2X,5,0.968253968
RP1,bCFM,2X,f,cCFM2X,6,0.952380952
RP1,bCFM,2X,f,cCFM2X,7,0.984126984
RP1,bCFM,2X,f,cCFM2X,8,0.968253968
RP1,bCFM,2X,f,cCFM2X,9,0.984126984
RP1,bCFM,2X,f,cCFM2X,10,0.984126984
RP1,bCFM,2X,f,cCFM2X,11,0.984126984
RP1,bCFM,2X,f,cCFM2X,12,0.984126984
RP1,bCFM,2X,f,cCFM2X,13,0.968253968
RP1,bCFM,2X,f,cCFM2X,14,1
RP1,bCFM,2X,f,cCFM2X,15,0.968253968
RP1,bCFM,2X,f,cCFM2X,16,0.968253968
RP1,bCFM,2X,f,cCFM2X,17,1
RP1,bCFM,2X,f,cCFM2X,18,1.015873016
RP1,bCFM,2X,f,cCFM2X,19,0.984126984
RP1,bCFM,2X,f,cCFM2X,20,0.968253968
RP1,bCFM,2X,f,cCFM2X,21,1
RP1,bCFM,2X,f,cCFM2X,22,0.984126984
RP1,bCFM,2X,f,cCFM2X,23,0.968253968
RP1,bCFM,2X,f,cCFM2X,24,0.984126984
RP1,bCFM,2X,f,cCFM2X,25,0.984126984
RP1,bCFM,2X,f,cCFM2X,26,1
RP1,bCFM,2X,f,cCFM2X,27,0.968253968
RP1,bCFM,2X,f,cCFM2X,28,0.984126984
RP1,bCFM,2X,f,cCFM2X,29,0.984126984
RP1,bCFM,2X,f,cCFM2X,30,0.984126984
RP1,bCFM,2X,f,cCFM2X,31,1.015873016
RP1,bCFM,2X,f,cCFM2X,32,1
RP1,bCFM,2X,f,cCFM2X,33,0.984126984
RP1,bCFM,2X,f,cCFM2X,34,0.984126984
RP1,bCFM,2X,f,cCFM2X,35,1
RP1,bCFM,1X,f,dCFM1X,1,0.968253968
RP1,bCFM,1X,f,dCFM1X,2,0.984126984
RP1,bCFM,1X,f,dCFM1X,3,0.984126984
RP1,bCFM,1X,f,dCFM1X,4,0.984126984
RP1,bCFM,1X,f,dCFM1X,5,0.984126984
RP1,bCFM,1X,f,dCFM1X,6,0.984126984
RP1,bCFM,1X,f,dCFM1X,7,0.984126984
RP1,bCFM,1X,f,dCFM1X,8,1
RP1,bCFM,1X,f,dCFM1X,9,0.984126984
RP1,bCFM,1X,f,dCFM1X,10,0.968253968
RP1,bCFM,1X,f,dCFM1X,11,1
RP1,bCFM,1X,f,dCFM1X,12,0.984126984
RP1,bCFM,1X,f,dCFM1X,13,0.984126984
RP1,bCFM,1X,f,dCFM1X,14,0.968253968
RP1,bCFM,1X,f,dCFM1X,15,1
RP1,bCFM,1X,f,dCFM1X,16,0.984126984
RP1,bCFM,1X,f,dCFM1X,17,0.984126984
RP1,bCFM,1X,f,dCFM1X,18,0.968253968
RP1,bCFM,1X,f,dCFM1X,19,0.984126984
RP1,bCFM,1X,f,dCFM1X,20,0.968253968
RP1,bCFM,1X,f,dCFM1X,21,0.984126984
RP1,bCFM,1X,f,dCFM1X,22,0.968253968
RP1,bCFM,1X,f,dCFM1X,23,1
