rep_population,regime,type,sex,regimesex,size_mm
RP1,aFLX,2X,f,aFLXf,1.005456349
RP2,aFLX,2X,f,aFLXf,1.031746032
RP3,aFLX,2X,f,aFLXf,1.026014109
RP4,aFLX,2X,f,aFLXf,1.018849206
RP1,aFLX,1X,f,aFLXf,1.02281746
RP2,aFLX,1X,f,aFLXf,1.033189033
RP3,aFLX,1X,f,aFLXf,1.024050024
RP4,aFLX,1X,f,aFLXf,1.031198686
RP1,aFLX,1X,m,dFLXm,0.870634921
RP2,aFLX,1X,m,dFLXm,0.874376417
RP3,aFLX,1X,m,dFLXm,0.865079365
RP4,aFLX,1X,m,dFLXm,0.872222222
RP1,bCFM,2X,f,bCFMf,0.985034014
RP2,bCFM,2X,f,bCFMf,0.987599206
RP3,bCFM,2X,f,bCFMf,1.005291005
RP4,bCFM,2X,f,bCFMf,0.990079365
RP1,bCFM,1X,f,bCFMf,0.983068783
RP2,bCFM,1X,f,bCFMf,0.99156746
RP3,bCFM,1X,f,bCFMf,0.988888889
RP4,bCFM,1X,f,bCFMf,0.998556999
RP1,bCFM,1X,m,eCFMm,0.852548037
RP2,bCFM,1X,m,eCFMm,0.857142857
RP3,bCFM,1X,m,eCFMm,0.845804989
RP4,bCFM,1X,m,eCFMm,0.856150794
RP1,cCwt,0X,f,cCwtf,0.98859127
RP2,cCwt,0X,f,cCwtf,0.993464052
RP3,cCwt,0X,f,cCwtf,0.987755102
RP4,cCwt,0X,f,cCwtf,0.967757937
RP1,cCwt,0X,m,fCwtm,0.842897843
RP2,cCwt,0X,m,fCwtm,0.849206349
RP3,cCwt,0X,m,fCwtm,0.846560847
RP4,cCwt,0X,m,fCwtm,0.827067669
