rep_population,regime,type,regimetype,sex,fly,size_mm
RP1,aFLX,2X,aFLX2X,f,1,0.968253968
RP1,aFLX,2X,aFLX2X,f,2,1.031746032
RP1,aFLX,2X,aFLX2X,f,3,1
RP1,aFLX,2X,aFLX2X,f,4,0.952380952
RP1,aFLX,2X,aFLX2X,f,5,0.936507937
RP1,aFLX,2X,aFLX2X,f,6,1.015873016
RP1,aFLX,2X,aFLX2X,f,7,0.968253968
RP1,aFLX,2X,aFLX2X,f,8,0.968253968
RP1,aFLX,2X,aFLX2X,f,9,0.936507937
RP1,aFLX,2X,aFLX2X,f,10,0.968253968
RP1,aFLX,2X,aFLX2X,f,11,0.952380952
RP1,aFLX,2X,aFLX2X,f,12,0.952380952
RP1,aFLX,2X,aFLX2X,f,13,1
RP1,aFLX,2X,aFLX2X,f,14,0.952380952
RP1,aFLX,2X,aFLX2X,f,15,0.936507937
RP1,aFLX,2X,aFLX2X,f,16,1.015873016
RP1,aFLX,2X,aFLX2X,f,17,0.952380952
RP1,aFLX,2X,aFLX2X,f,18,0.936507937
RP1,aFLX,2X,aFLX2X,f,19,0.968253968
RP1,aFLX,2X,aFLX2X,f,20,0.952380952
RP1,aFLX,1X,bFLX1X,f,1,0.936507937
RP1,aFLX,1X,bFLX1X,f,2,0.920634921
RP1,aFLX,1X,bFLX1X,f,3,0.936507937
RP1,aFLX,1X,bFLX1X,f,4,0.936507937
RP1,aFLX,1X,bFLX1X,f,5,0.904761905
RP1,aFLX,1X,bFLX1X,f,6,0.952380952
RP1,aFLX,1X,bFLX1X,f,7,0.936507937
RP1,aFLX,1X,bFLX1X,f,8,0.904761905
RP1,aFLX,1X,bFLX1X,f,9,0.936507937
RP1,aFLX,1X,bFLX1X,f,10,0.920634921
RP1,aFLX,1X,bFLX1X,f,11,0.952380952
RP1,aFLX,1X,bFLX1X,f,12,0.904761905
RP1,aFLX,1X,bFLX1X,f,13,0.920634921
RP1,aFLX,1X,bFLX1X,f,14,0.952380952
RP1,aFLX,1X,bFLX1X,f,15,0.936507937
RP1,aFLX,1X,bFLX1X,f,16,0.968253968
RP1,aFLX,1X,bFLX1X,f,17,0.920634921
RP1,aFLX,1X,bFLX1X,f,18,0.952380952
RP1,aFLX,1X,bFLX1X,f,19,0.952380952
RP1,aFLX,1X,bFLX1X,f,20,0.920634921
RP1,aFLX,1X,fFLXm,m,1,0.793650794
RP1,aFLX,1X,fFLXm,m,2,0.873015873
RP1,aFLX,1X,fFLXm,m,3,0.857142857
RP1,aFLX,1X,fFLXm,m,4,0.888888889
RP1,aFLX,1X,fFLXm,m,5,0.841269841
RP1,aFLX,1X,fFLXm,m,6,0.841269841
RP1,aFLX,1X,fFLXm,m,7,0.841269841
RP1,aFLX,1X,fFLXm,m,8,0.857142857
RP1,aFLX,1X,fFLXm,m,9,0.857142857
RP1,aFLX,1X,fFLXm,m,10,0.841269841
RP1,aFLX,1X,fFLXm,m,11,0.841269841
RP1,aFLX,1X,fFLXm,m,12,0.857142857
RP1,aFLX,1X,fFLXm,m,13,0.793650794
RP1,aFLX,1X,fFLXm,m,14,0.841269841
RP1,aFLX,1X,fFLXm,m,15,0.841269841
RP1,aFLX,1X,fFLXm,m,16,0.857142857
RP1,aFLX,1X,fFLXm,m,17,0.793650794
RP1,aFLX,1X,fFLXm,m,18,0.793650794
RP1,aFLX,1X,fFLXm,m,19,0.857142857
RP1,aFLX,1X,fFLXm,m,20,0.904761905
RP1,bCFM,2X,cCFM2X,f,1,0.888888889
RP1,bCFM,2X,cCFM2X,f,2,0.952380952
RP1,bCFM,2X,cCFM2X,f,3,0.968253968
RP1,bCFM,2X,cCFM2X,f,4,0.952380952
RP1,bCFM,2X,cCFM2X,f,5,0.952380952
RP1,bCFM,2X,cCFM2X,f,6,0.936507937
RP1,bCFM,2X,cCFM2X,f,7,0.952380952
RP1,bCFM,2X,cCFM2X,f,8,0.904761905
RP1,bCFM,2X,cCFM2X,f,9,0.952380952
RP1,bCFM,2X,cCFM2X,f,10,0.952380952
RP1,bCFM,2X,cCFM2X,f,11,0.936507937
RP1,bCFM,2X,cCFM2X,f,12,0.920634921
RP1,bCFM,2X,cCFM2X,f,13,0.904761905
RP1,bCFM,2X,cCFM2X,f,14,0.920634921
RP1,bCFM,2X,cCFM2X,f,15,0.904761905
RP1,bCFM,2X,cCFM2X,f,16,0.904761905
RP1,bCFM,2X,cCFM2X,f,17,0.952380952
RP1,bCFM,2X,cCFM2X,f,18,0.936507937
RP1,bCFM,2X,cCFM2X,f,19,0.952380952
RP1,bCFM,2X,cCFM2X,f,20,0.920634921
RP1,bCFM,1X,dCFM1X,f,1,0.920634921
RP1,bCFM,1X,dCFM1X,f,2,0.936507937
RP1,bCFM,1X,dCFM1X,f,3,0.920634921
RP1,bCFM,1X,dCFM1X,f,4,0.920634921
RP1,bCFM,1X,dCFM1X,f,5,0.920634921
RP1,bCFM,1X,dCFM1X,f,6,0.920634921
RP1,bCFM,1X,dCFM1X,f,7,0.936507937
RP1,bCFM,1X,dCFM1X,f,8,0.952380952
RP1,bCFM,1X,dCFM1X,f,9,0.920634921
RP1,bCFM,1X,dCFM1X,f,10,0.904761905
RP1,bCFM,1X,dCFM1X,f,11,0.952380952
RP1,bCFM,1X,dCFM1X,f,12,0.968253968
RP1,bCFM,1X,dCFM1X,f,13,0.936507937
RP1,bCFM,1X,dCFM1X,f,14,0.936507937
RP1,bCFM,1X,dCFM1X,f,15,0.952380952
RP1,bCFM,1X,dCFM1X,f,16,0.904761905
RP1,bCFM,1X,dCFM1X,f,17,0.952380952
RP1,bCFM,1X,dCFM1X,f,18,0.968253968
RP1,bCFM,1X,dCFM1X,f,19,0.920634921
RP1,bCFM,1X,dCFM1X,f,20,0.920634921
RP1,bCFM,1X,gCFMm,m,1,0.793650794
RP1,bCFM,1X,gCFMm,m,2,0.80952381
RP1,bCFM,1X,gCFMm,m,3,0.825396825
RP1,bCFM,1X,gCFMm,m,4,0.80952381
RP1,bCFM,1X,gCFMm,m,5,0.841269841
RP1,bCFM,1X,gCFMm,m,6,0.793650794
RP1,bCFM,1X,gCFMm,m,7,0.793650794
RP1,bCFM,1X,gCFMm,m,8,0.825396825
RP1,bCFM,1X,gCFMm,m,9,0.793650794
RP1,bCFM,1X,gCFMm,m,10,0.825396825
RP1,bCFM,1X,gCFMm,m,11,0.80952381
RP1,bCFM,1X,gCFMm,m,12,0.777777778
RP1,bCFM,1X,gCFMm,m,13,0.825396825
RP1,bCFM,1X,gCFMm,m,14,0.825396825
