rep_population,regime,type,sex,regimesex,size_mm
RP1,aFLX,2X,f,aFLXf,0.968253968
RP2,aFLX,2X,f,aFLXf,0.933333333
RP3,aFLX,2X,f,aFLXf,0.95
RP4,aFLX,2X,f,aFLXf,0.947619048
RP1,aFLX,1X,f,aFLXf,0.933333333
RP2,aFLX,1X,f,aFLXf,0.944026734
RP3,aFLX,1X,f,aFLXf,0.936507937
RP4,aFLX,1X,f,aFLXf,0.93015873
RP1,aFLX,1X,m,dFLXm,0.843650794
RP2,aFLX,1X,m,dFLXm,0.806349206
RP3,aFLX,1X,m,dFLXm,0.828571429
RP4,aFLX,1X,m,dFLXm,0.796031746
RP1,bCFM,2X,f,bCFMf,0.933333333
RP2,bCFM,2X,f,bCFMf,0.937301587
RP3,bCFM,2X,f,bCFMf,0.930952381
RP4,bCFM,2X,f,bCFMf,0.938095238
RP1,bCFM,1X,f,bCFMf,0.933333333
RP2,bCFM,1X,f,bCFMf,0.950793651
RP3,bCFM,1X,f,bCFMf,0.922222222
RP4,bCFM,1X,f,bCFMf,0.933333333
RP1,bCFM,1X,m,eCFMm,0.808730159
RP2,bCFM,1X,m,eCFMm,0.808730159
RP3,bCFM,1X,m,eCFMm,0.794444444
RP4,bCFM,1X,m,eCFMm,0.83015873
RP1,cCwt,0X,f,cCwtf,0.942857143
RP2,cCwt,0X,f,cCwtf,0.903174603
RP3,cCwt,0X,f,cCwtf,0.892857143
RP4,cCwt,0X,f,cCwtf,0.928571429
RP1,cCwt,0X,m,fCwtm,0.81031746
RP2,cCwt,0X,m,fCwtm,0.79047619
RP3,cCwt,0X,m,fCwtm,0.807142857
RP4,cCwt,0X,m,fCwtm,0.806349206
